movie,boxoffice,month,day,company
Beauty and the Beast,174750616.00,3,17,Disney
Guardians of the Galaxy 2,146510104.00,5,5,Disney
It,123403419.00,9,8,Warner Bros
Thor Ragnarok,122744989.00,11,3,Disney
Spiderman Homecoming,117027503.00,7,7,Sony
Wonder Woman,103251471.00,6,2,Warner Bros
The Fate of the Furious,98786705.00,4,14,Universal
Justice League,93842239.00,11,17,Warner Bros
Logan,88411916.00,3,3,Fox
Despicable Me 3,72434025.00,6,30,Universal
Pirates of the Caribbean 5,62983253.00,5,26,Disney
Kong Skull Island,61025472.00,3,10,Warner Bros
War for the Planet of the Apes,56262929.00,7,14,Fox
Cars 3,53688680.00,6,16,Disney
The LEGO Batman Movie,53003468.00,2,10,Warner Bros
Dunkirk,50513488.00,7,21,Warner Bros
The Boss Baby,50198902.00,3,31,Fox
Coco,49022000.00,11,22,Disney
Fifty Shades Darker,46607250.00,2,10,Universal
Transformers The Last Knight,44680073.00,6,21,Paramount
Power Rangers,40300288.00,3,24,Lionsgate
Split,40010975.00,1,20,Universal
Kingsman The Golden Circle,39023010.00,9,22,Fox
Alien Covenant,36160621.00,5,19,Fox
Annabelle Creation,35006404.00,8,11,Warner Bros
